id,limitlessCode,name,logo,cardCount
xy7,AOR,Ancient Origins,https://assets.tcgdex.net/en/xy/xy7/logo,98
ecard2,E2,Aquapolis,https://assets.tcgdex.net/en/ecard/ecard2/logo,147
pl4,AR,Arceus,https://assets.tcgdex.net/en/pl/pl4/logo,99
me02.5,ASC,Ascended Heroes,https://assets.tcgdex.net/en/me/me02.5/logo,217
swsh10,ASR,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/logo,189
base1,BS,Base Set,https://assets.tcgdex.net/en/base/base1/logo,102
base4,BS2,Base Set 2,https://assets.tcgdex.net/en/base/base4/logo,130
swsh5,BST,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/logo,163
bog,BG,Best of game,,9
bw1,BLW,Black & White,https://assets.tcgdex.net/en/bw/bw1/logo,114
sv10.5b,BLK,Black Bolt,https://assets.tcgdex.net/en/sv/sv10.5b/logo,86
bw7,BCR,Boundaries Crossed,https://assets.tcgdex.net/en/bw/bw7/logo,149
xy9,BKP,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/logo,122
xy8,BKT,BREAKthrough,https://assets.tcgdex.net/en/xy/xy8/logo,162
swsh9,BRS,Brilliant Stars,https://assets.tcgdex.net/en/swsh/swsh9/logo,172
sm3,BUS,Burning Shadows,https://assets.tcgdex.net/en/sm/sm3/logo,147
bwp,,BW Black Star Promos,https://assets.tcgdex.net/en/bw/bwp/logo,101
tk-bw-e,,BW trainer Kit (Excadrill),,30
tk-bw-z,,BW trainer Kit (Zoroark),,30
col1,CL,Call of Legends,https://assets.tcgdex.net/en/col/col1/logo,95
cel25,CEL,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/logo,25
A3,,Celestial Guardians,https://assets.tcgdex.net/en/tcgp/A3/logo,155
sm7,CES,Celestial Storm,https://assets.tcgdex.net/en/sm/sm7/logo,168
swsh3.5,CPA,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/logo,73
swsh6,CRE,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/logo,198
sm12,CEC,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/logo,236
B1a,,Crimson Blaze,,69
sm4,CIN,Crimson Invasion,https://assets.tcgdex.net/en/sm/sm4/logo,111
swsh12.5,CRZ,Crown Zenith,https://assets.tcgdex.net/en/swsh/swsh12.5/logo,159
ex14,CG,Crystal Guardians,https://assets.tcgdex.net/en/ex/ex14/logo,100
bw5,DEX,Dark Explorers,https://assets.tcgdex.net/en/bw/bw5/logo,108
swsh3,DAA,Darkness Ablaze,https://assets.tcgdex.net/en/swsh/swsh3/logo,189
ex11,DS,Delta Species,https://assets.tcgdex.net/en/ex/ex11/logo,113
ex8,DX,Deoxys,https://assets.tcgdex.net/en/ex/ex8/logo,107
sv10,DRI,Destined Rivals,https://assets.tcgdex.net/en/sv/sv10/logo,182
det1,DET,Detective Pikachu,https://assets.tcgdex.net/en/sm/det1/logo,18
dp1,DP,Diamond & Pearl,https://assets.tcgdex.net/en/dp/dp1/logo,130
dc1,DCR,Double Crisis,https://assets.tcgdex.net/en/xy/dc1/logo,34
dpp,,DP Black Star Promos,https://assets.tcgdex.net/en/dp/dpp/logo,56
tk-dp-l,,DP trainer Kit (Lucario),,11
tk-dp-m,,DP trainer Kit (Manaphy),,12
ex3,DR,Dragon,https://assets.tcgdex.net/en/ex/ex3/logo,97
ex15,DF,Dragon Frontiers,https://assets.tcgdex.net/en/ex/ex15/logo,101
sm7.5,DRM,Dragon Majesty,,70
dv1,DRV,Dragon Vault,https://assets.tcgdex.net/en/bw/dv1/logo,20
bw6,DRX,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/logo,124
A3b,,Eevee Grove,,69
ex9,EM,Emerald,https://assets.tcgdex.net/en/ex/ex9/logo,106
bw2,EPO,Emerging Powers,https://assets.tcgdex.net/en/bw/bw2/logo,98
xy12,EVO,Evolutions,https://assets.tcgdex.net/en/xy/xy12/logo,108
swsh7,EVS,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/logo,203
tk-ex-latia,,EX trainer Kit (Latias),,10
tk-ex-latio,,EX trainer Kit (Latios),,10
tk-ex-m,,EX trainer Kit 2 (Minun),,12
tk-ex-p,,EX trainer Kit 2 (Plusle),,12
ecard1,E1,Expedition Base Set,https://assets.tcgdex.net/en/ecard/ecard1/logo,165
A3a,,Extradimensional Crisis,,69
B2,,Fantastical Parade,https://assets.tcgdex.net/en/tcgp/B2/logo,155
xy10,FCO,Fates Collide,https://assets.tcgdex.net/en/xy/xy10/logo,124
ex6,RG,FireRed & LeafGreen,https://assets.tcgdex.net/en/ex/ex6/logo,112
xy2,FLF,Flashfire,https://assets.tcgdex.net/en/xy/xy2/logo,106
sm6,FLI,Forbidden Light,https://assets.tcgdex.net/en/sm/sm6/logo,131
base3,FO,Fossil,https://assets.tcgdex.net/en/base/base3/logo,62
xy3,FFI,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/logo,111
swsh8,FST,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/logo,264
g1,GEN,Generations,https://assets.tcgdex.net/en/xy/g1/logo,83
A1,,Genetic Apex,https://assets.tcgdex.net/en/tcgp/A1/logo,226
dp4,GE,Great Encounters,https://assets.tcgdex.net/en/dp/dp4/logo,106
sm2,GRI,Guardians Rising,https://assets.tcgdex.net/en/sm/sm2/logo,145
gym2,G2,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/logo,132
gym1,G1,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/logo,132
hgss1,HS,HeartGold SoulSilver,https://assets.tcgdex.net/en/hgss/hgss1/logo,123
hgssp,HSP,HGSS Black Star Promos,https://assets.tcgdex.net/en/hgss/hgssp/logo,25
sm115,HIF,Hidden Fates,https://assets.tcgdex.net/en/sm/sm115/logo,68
ex5,HL,Hidden Legends,https://assets.tcgdex.net/en/ex/ex5/logo,101
ex13,HP,Holon Phantoms,https://assets.tcgdex.net/en/ex/ex13/logo,110
tk-hs-g,,HS trainer Kit (Gyarados),,30
tk-hs-r,,HS trainer Kit (Raichu),,30
sv09,JTG,Journey Together,https://assets.tcgdex.net/en/sv/sv09/logo,159
jumbo,,Jumbo cards,,160
base2,JU,Jungle,https://assets.tcgdex.net/en/base/base2/logo,64
xy0,KSS,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/logo,39
ex12,LM,Legend Maker,https://assets.tcgdex.net/en/ex/ex12/logo,92
lc,LC,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/logo,110
bw11,LTR,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/logo,113
dp6,LA,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/logo,146
swsh11,LOR,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/logo,196
sm8,LOT,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/logo,214
2011bw,,Macdonald's Collection 2011,,12
2012bw,,Macdonald's Collection 2012,,12
2014xy,,Macdonald's Collection 2014,,12
2015xy,,Macdonald's Collection 2015,,12
2016xy,,Macdonald's Collection 2016,,12
2017sm,,Macdonald's Collection 2017,,12
2018sm,,Macdonald's Collection 2018,,12
2019sm,,Macdonald's Collection 2019,,12
2021swsh,,Macdonald's Collection 2021,,25
dp5,,Majestic Dawn,https://assets.tcgdex.net/en/dp/dp5/logo,100
me01,MEG,Mega Evolution,https://assets.tcgdex.net/en/me/me01/logo,132
B1,,Mega Rising,https://assets.tcgdex.net/en/tcgp/B1/logo,226
